"","workerid","target1","target2","competitor1","competitor2","target_location","competitor_location","look","target_look","competitor_look"
"93",1961,2,8,1,7,"bottomleft","topleft","bottomright",0,0
"94",1961,3,9,4,10,"topright","bottomright","topleft",0,0
"95",2198,4,10,3,9,"bottomright","topright","center",0,0
"96",2198,4,10,3,9,"bottomright","topright","bottomleft",0,0
"97",2198,4,10,3,9,"bottomright","topright","topright",0,1
"98",2198,2,8,1,7,"bottomleft","topleft","topright",0,0
"99",2198,2,8,1,7,"bottomleft","topleft","center",0,0
"100",2198,2,8,1,7,"bottomleft","topleft","topleft",0,1
"101",2198,4,10,3,9,"bottomright","topright","topleft",0,0
"102",2198,2,8,1,7,"bottomleft","topleft","bottomleft",1,0
"103",2198,1,7,2,8,"topleft","bottomleft","topleft",1,0
"104",2198,1,7,2,8,"topleft","bottomleft","bottomright",0,0
"105",2198,1,7,2,8,"topleft","bottomleft","bottomleft",0,1
"106",2198,1,7,2,8,"topleft","bottomleft","center",0,0
"107",2198,1,7,2,8,"topleft","bottomleft","topright",0,0
"108",2198,2,8,1,7,"bottomleft","topleft","bottomright",0,0
"109",2198,3,9,4,10,"topright","bottomright","topright",1,0
"110",2198,3,9,4,10,"topright","bottomright","bottomright",0,1
"111",2198,3,9,4,10,"topright","bottomright","topleft",0,0
"112",2198,3,9,4,10,"topright","bottomright","center",0,0
"113",2198,3,9,4,10,"topright","bottomright","bottomleft",0,0
"114",2198,4,10,3,9,"bottomright","topright","bottomright",1,0
"115",2176,1,7,2,8,"topleft","bottomleft","bottomleft",0,1
"116",2176,1,7,2,8,"topleft","bottomleft","center",0,0
"117",2176,3,9,4,10,"topright","bottomright","bottomleft",0,0
"118",2176,3,9,4,10,"topright","bottomright","center",0,0
"119",2176,2,8,1,7,"bottomleft","topleft","bottomleft",1,0
"120",2176,2,8,1,7,"bottomleft","topleft","topleft",0,1
"121",2176,4,10,3,9,"bottomright","topright","topleft",0,0
"122",2176,4,10,3,9,"bottomright","topright","center",0,0
"123",2176,4,10,3,9,"bottomright","topright","topright",0,1
"124",2176,4,10,3,9,"bottomright","topright","bottomleft",0,0
"125",2176,4,10,3,9,"bottomright","topright","bottomright",1,0
"126",2176,2,8,1,7,"bottomleft","topleft","topright",0,0
"127",2176,2,8,1,7,"bottomleft","topleft","center",0,0
"128",2176,1,7,2,8,"topleft","bottomleft","topleft",1,0
"129",2176,1,7,2,8,"topleft","bottomleft","topright",0,0
"130",2176,3,9,4,10,"topright","bottomright","topright",1,0
"131",2176,3,9,4,10,"topright","bottomright","bottomright",0,1
"132",2176,1,7,2,8,"topleft","bottomleft","bottomright",0,0
"133",2176,2,8,1,7,"bottomleft","topleft","bottomright",0,0
"134",2043,4,10,3,9,"bottomright","topright","bottomleft",0,0
"135",2043,4,10,3,9,"bottomright","topright","center",0,0
"136",2043,4,10,3,9,"bottomright","topright","topright",0,1
"137",2043,4,10,3,9,"bottomright","topright","topleft",0,0
"138",2043,3,9,4,10,"topright","bottomright","topright",1,0
"139",2043,3,9,4,10,"topright","bottomright","bottomleft",0,0
"140",2043,3,9,4,10,"topright","bottomright","topleft",0,0
"141",2043,3,9,4,10,"topright","bottomright","center",0,0
"142",2043,4,10,3,9,"bottomright","topright","bottomright",1,0
"143",2043,1,7,2,8,"topleft","bottomleft","center",0,0
"144",2043,1,7,2,8,"topleft","bottomleft","bottomleft",0,1
"145",2043,1,7,2,8,"topleft","bottomleft","topleft",1,0
"146",2043,2,8,1,7,"bottomleft","topleft","center",0,0
"147",2043,2,8,1,7,"bottomleft","topleft","topright",0,0
"148",2043,2,8,1,7,"bottomleft","topleft","topleft",0,1
"149",2043,2,8,1,7,"bottomleft","topleft","bottomright",0,0
"150",2043,2,8,1,7,"bottomleft","topleft","bottomleft",1,0
"151",2043,3,9,4,10,"topright","bottomright","bottomright",0,1
"152",2043,1,7,2,8,"topleft","bottomleft","bottomright",0,0
"153",2043,1,7,2,8,"topleft","bottomleft","topright",0,0
"154",2031,2,8,1,7,"bottomleft","topleft","topright",0,0
"155",2031,2,8,1,7,"bottomleft","topleft","center",0,0
"156",2031,2,8,1,7,"bottomleft","topleft","topleft",0,1
"157",2031,4,10,3,9,"bottomright","topright","topleft",0,0
"158",2031,4,10,3,9,"bottomright","topright","center",0,0
"159",2031,4,10,3,9,"bottomright","topright","bottomright",1,0
"160",2031,4,10,3,9,"bottomright","topright","topright",0,1
"161",2031,3,9,4,10,"topright","bottomright","center",0,0
"162",2031,3,9,4,10,"topright","bottomright","topleft",0,0
"163",2031,3,9,4,10,"topright","bottomright","topright",1,0
"164",2031,1,7,2,8,"topleft","bottomleft","center",0,0
"165",2031,1,7,2,8,"topleft","bottomleft","topright",0,0
"166",2031,1,7,2,8,"topleft","bottomleft","bottomleft",0,1
"167",2031,4,10,3,9,"bottomright","topright","bottomleft",0,0
"168",2031,1,7,2,8,"topleft","bottomleft","bottomright",0,0
"169",2031,3,9,4,10,"topright","bottomright","bottomleft",0,0
"170",2031,3,9,4,10,"topright","bottomright","bottomright",0,1
"171",2031,2,8,1,7,"bottomleft","topleft","bottomright",0,0
"172",2031,2,8,1,7,"bottomleft","topleft","bottomleft",1,0
"173",2031,1,7,2,8,"topleft","bottomleft","topleft",1,0
"174",2112,3,9,4,10,"topright","bottomright","center",0,0
"175",2112,3,9,4,10,"topright","bottomright","topleft",0,0
"176",2112,3,9,4,10,"topright","bottomright","bottomright",0,1
"177",2112,2,8,1,7,"bottomleft","topleft","bottomright",0,0
"178",2112,2,8,1,7,"bottomleft","topleft","center",0,0
"179",2112,2,8,1,7,"bottomleft","topleft","bottomleft",1,0
"180",2112,2,8,1,7,"bottomleft","topleft","topleft",0,1
"181",2112,4,10,3,9,"bottomright","topright","center",0,0
"182",2112,4,10,3,9,"bottomright","topright","bottomright",1,0
"183",2112,4,10,3,9,"bottomright","topright","topleft",0,0
"184",2112,4,10,3,9,"bottomright","topright","bottomleft",0,0
"185",2112,4,10,3,9,"bottomright","topright","topright",0,1
"186",2112,3,9,4,10,"topright","bottomright","bottomleft",0,0
"187",2112,1,7,2,8,"topleft","bottomleft","bottomright",0,0
"188",2112,1,7,2,8,"topleft","bottomleft","center",0,0
"189",2112,1,7,2,8,"topleft","bottomleft","bottomleft",0,1
"190",2112,1,7,2,8,"topleft","bottomleft","topleft",1,0
"191",2112,1,7,2,8,"topleft","bottomleft","topright",0,0
"192",2112,3,9,4,10,"topright","bottomright","topright",1,0
"193",2112,2,8,1,7,"bottomleft","topleft","topright",0,0
"194",2105,3,9,4,10,"topright","bottomright","center",0,0
"195",2105,1,7,2,8,"topleft","bottomleft","center",0,0
"196",2105,1,7,2,8,"topleft","bottomleft","topleft",1,0
"197",2105,2,8,1,7,"bottomleft","topleft","center",0,0
"198",2105,2,8,1,7,"bottomleft","topleft","topleft",0,1
"199",2105,3,9,4,10,"topright","bottomright","topleft",0,0
"200",2105,4,10,3,9,"bottomright","topright","center",0,0
"201",2105,4,10,3,9,"bottomright","topright","topleft",0,0
"202",2105,4,10,3,9,"bottomright","topright","topright",0,1
"203",2105,1,7,2,8,"topleft","bottomleft","topright",0,0
"204",2105,1,7,2,8,"topleft","bottomleft","bottomleft",0,1
"205",2105,2,8,1,7,"bottomleft","topleft","topright",0,0
"206",2105,4,10,3,9,"bottomright","topright","bottomleft",0,0
"207",2105,3,9,4,10,"topright","bottomright","topright",1,0
"208",2105,3,9,4,10,"topright","bottomright","bottomleft",0,0
"209",2105,3,9,4,10,"topright","bottomright","bottomright",0,1
"210",2105,2,8,1,7,"bottomleft","topleft","bottomright",0,0
"211",2105,2,8,1,7,"bottomleft","topleft","bottomleft",1,0
"212",1917,1,7,2,8,"topleft","bottomleft","center",0,0
"213",1917,1,7,2,8,"topleft","bottomleft","topleft",1,0
"214",1917,1,7,2,8,"topleft","bottomleft","bottomleft",0,1
"215",1917,2,8,1,7,"bottomleft","topleft","bottomleft",1,0
"216",1917,2,8,1,7,"bottomleft","topleft","bottomright",0,0
"217",1917,2,8,1,7,"bottomleft","topleft","topleft",0,1
"218",1917,2,8,1,7,"bottomleft","topleft","center",0,0
"219",1917,4,10,3,9,"bottomright","topright","topleft",0,0
"220",1917,4,10,3,9,"bottomright","topright","topright",0,1
"221",1917,1,7,2,8,"topleft","bottomleft","topright",0,0
"222",1917,3,9,4,10,"topright","bottomright","bottomright",0,1
"223",1917,3,9,4,10,"topright","bottomright","bottomleft",0,0
"224",1917,3,9,4,10,"topright","bottomright","topleft",0,0
"225",1917,3,9,4,10,"topright","bottomright","topright",1,0
"226",1917,4,10,3,9,"bottomright","topright","bottomleft",0,0
"227",1917,4,10,3,9,"bottomright","topright","bottomright",1,0
"228",1917,4,10,3,9,"bottomright","topright","center",0,0
"229",1917,3,9,4,10,"topright","bottomright","center",0,0
"230",1917,2,8,1,7,"bottomleft","topleft","topright",0,0
"231",1889,4,10,3,9,"bottomright","topright","topright",0,1
"232",1889,4,10,3,9,"bottomright","topright","center",0,0
"233",1889,4,10,3,9,"bottomright","topright","bottomleft",0,0
"234",1889,4,10,3,9,"bottomright","topright","topleft",0,0
"235",1889,1,7,2,8,"topleft","bottomleft","topleft",1,0
"236",1889,1,7,2,8,"topleft","bottomleft","bottomleft",0,1
"237",1889,2,8,1,7,"bottomleft","topleft","bottomleft",1,0
"238",1889,3,9,4,10,"topright","bottomright","center",0,0
"239",1889,3,9,4,10,"topright","bottomright","topleft",0,0
"240",1889,3,9,4,10,"topright","bottomright","bottomleft",0,0
"241",1889,3,9,4,10,"topright","bottomright","bottomright",0,1
"242",1889,3,9,4,10,"topright","bottomright","topright",1,0
"243",1889,1,7,2,8,"topleft","bottomleft","bottomright",0,0
"244",1889,1,7,2,8,"topleft","bottomleft","center",0,0
"245",1889,2,8,1,7,"bottomleft","topleft","topleft",0,1
"246",1889,2,8,1,7,"bottomleft","topleft","topright",0,0
"247",1889,2,8,1,7,"bottomleft","topleft","center",0,0
"248",1889,2,8,1,7,"bottomleft","topleft","bottomright",0,0
"249",1889,1,7,2,8,"topleft","bottomleft","topright",0,0
"250",1889,4,10,3,9,"bottomright","topright","bottomright",1,0
"251",2178,2,8,1,7,"bottomleft","topleft","topleft",0,1
"252",2178,2,8,1,7,"bottomleft","topleft","center",0,0
"253",2178,1,7,2,8,"topleft","bottomleft","center",0,0
"254",2178,1,7,2,8,"topleft","bottomleft","topleft",1,0
"255",2178,1,7,2,8,"topleft","bottomleft","topright",0,0
"256",2178,3,9,4,10,"topright","bottomright","center",0,0
"257",2178,3,9,4,10,"topright","bottomright","topright",1,0
"258",2178,3,9,4,10,"topright","bottomright","bottomright",0,1
"259",2178,1,7,2,8,"topleft","bottomleft","bottomleft",0,1
"260",2178,4,10,3,9,"bottomright","topright","center",0,0
"261",2178,4,10,3,9,"bottomright","topright","topright",0,1
"262",2178,4,10,3,9,"bottomright","topright","bottomright",1,0
"263",2178,2,8,1,7,"bottomleft","topleft","bottomleft",1,0
"264",2178,4,10,3,9,"bottomright","topright","topleft",0,0
"265",2178,2,8,1,7,"bottomleft","topleft","topright",0,0
"266",2178,3,9,4,10,"topright","bottomright","topleft",0,0
"267",2178,2,8,1,7,"bottomleft","topleft","bottomright",0,0
"268",2178,1,7,2,8,"topleft","bottomleft","bottomright",0,0
"269",2178,4,10,3,9,"bottomright","topright","bottomleft",0,0
"270",2012,1,7,2,8,"topleft","bottomleft","center",0,0
"271",2012,1,7,2,8,"topleft","bottomleft","bottomleft",0,1
"272",2012,1,7,2,8,"topleft","bottomleft","topright",0,0
"273",2012,4,10,3,9,"bottomright","topright","center",0,0
"274",2012,4,10,3,9,"bottomright","topright","topright",0,1
"275",2012,4,10,3,9,"bottomright","topright","topleft",0,0
"276",2012,4,10,3,9,"bottomright","topright","bottomleft",0,0
"277",2012,4,10,3,9,"bottomright","topright","bottomright",1,0
"278",2012,2,8,1,7,"bottomleft","topleft","bottomleft",1,0
"279",2012,2,8,1,7,"bottomleft","topleft","center",0,0
"280",2012,2,8,1,7,"bottomleft","topleft","topright",0,0
"281",2012,2,8,1,7,"bottomleft","topleft","topleft",0,1
"282",2012,1,7,2,8,"topleft","bottomleft","topleft",1,0
"283",2012,3,9,4,10,"topright","bottomright","topleft",0,0
"284",2012,3,9,4,10,"topright","bottomright","topright",1,0
"285",2012,3,9,4,10,"topright","bottomright","center",0,0
"286",2012,3,9,4,10,"topright","bottomright","bottomleft",0,0
"287",2012,3,9,4,10,"topright","bottomright","bottomright",0,1
"288",2012,1,7,2,8,"topleft","bottomleft","bottomright",0,0
"289",2012,2,8,1,7,"bottomleft","topleft","bottomright",0,0
"290",2018,1,7,2,8,"topleft","bottomleft","bottomleft",0,1
"291",2018,1,7,2,8,"topleft","bottomleft","bottomright",0,0
"292",2018,3,9,4,10,"topright","bottomright","center",0,0
"293",2018,3,9,4,10,"topright","bottomright","bottomleft",0,0
"294",2018,3,9,4,10,"topright","bottomright","bottomright",0,1
"295",2018,3,9,4,10,"topright","bottomright","topleft",0,0
"296",2018,1,7,2,8,"topleft","bottomleft","topright",0,0
"297",2018,1,7,2,8,"topleft","bottomleft","center",0,0
"298",2018,2,8,1,7,"bottomleft","topleft","bottomleft",1,0
"299",2018,2,8,1,7,"bottomleft","topleft","bottomright",0,0
"300",2018,2,8,1,7,"bottomleft","topleft","center",0,0
"301",2018,2,8,1,7,"bottomleft","topleft","topleft",0,1
"302",2018,4,10,3,9,"bottomright","topright","bottomleft",0,0
"303",2018,4,10,3,9,"bottomright","topright","center",0,0
"304",2018,4,10,3,9,"bottomright","topright","bottomright",1,0
"305",2018,4,10,3,9,"bottomright","topright","topright",0,1
"306",2018,4,10,3,9,"bottomright","topright","topleft",0,0
"307",2018,3,9,4,10,"topright","bottomright","topright",1,0
"308",2018,1,7,2,8,"topleft","bottomleft","topleft",1,0
"309",2018,2,8,1,7,"bottomleft","topleft","topright",0,0
"310",2147,4,10,3,9,"bottomright","topright","center",0,0
"311",2147,4,10,3,9,"bottomright","topright","bottomright",1,0
"312",2147,4,10,3,9,"bottomright","topright","bottomleft",0,0
"313",2147,4,10,3,9,"bottomright","topright","topright",0,1
"314",2147,2,8,1,7,"bottomleft","topleft","center",0,0
"315",2147,2,8,1,7,"bottomleft","topleft","bottomright",0,0
"316",2147,2,8,1,7,"bottomleft","topleft","topleft",0,1
"317",2147,1,7,2,8,"topleft","bottomleft","topleft",1,0
"318",2147,1,7,2,8,"topleft","bottomleft","center",0,0
"319",2147,2,8,1,7,"bottomleft","topleft","bottomleft",1,0
"320",2147,4,10,3,9,"bottomright","topright","topleft",0,0
"321",2147,3,9,4,10,"topright","bottomright","topright",1,0
"322",2147,3,9,4,10,"topright","bottomright","center",0,0
"323",2147,3,9,4,10,"topright","bottomright","bottomleft",0,0
"324",2147,3,9,4,10,"topright","bottomright","topleft",0,0
"325",2147,3,9,4,10,"topright","bottomright","bottomright",0,1
"326",2147,1,7,2,8,"topleft","bottomleft","topright",0,0
"327",2147,1,7,2,8,"topleft","bottomleft","bottomright",0,0
"328",2147,1,7,2,8,"topleft","bottomleft","bottomleft",0,1
"329",2147,2,8,1,7,"bottomleft","topleft","topright",0,0
"330",2047,2,8,1,7,"bottomleft","topleft","center",0,0
"331",2047,2,8,1,7,"bottomleft","topleft","topleft",0,1
"332",2047,2,8,1,7,"bottomleft","topleft","bottomleft",1,0
"333",2047,1,7,2,8,"topleft","bottomleft","center",0,0
"334",2047,4,10,3,9,"bottomright","topright","center",0,0
"335",2047,4,10,3,9,"bottomright","topright","topright",0,1
"336",2047,3,9,4,10,"topright","bottomright","center",0,0
"337",2117,1,7,2,8,"topleft","bottomleft","topleft",1,0
"338",2117,1,7,2,8,"topleft","bottomleft","center",0,0
"339",2117,1,7,2,8,"topleft","bottomleft","topright",0,0
"340",2117,1,7,2,8,"topleft","bottomleft","bottomleft",0,1
"341",2117,2,8,1,7,"bottomleft","topleft","center",0,0
"342",2117,2,8,1,7,"bottomleft","topleft","topright",0,0
"343",2117,2,8,1,7,"bottomleft","topleft","topleft",0,1
"344",2117,4,10,3,9,"bottomright","topright","topleft",0,0
"345",2117,4,10,3,9,"bottomright","topright","bottomleft",0,0
"346",2117,4,10,3,9,"bottomright","topright","center",0,0
"347",2117,4,10,3,9,"bottomright","topright","topright",0,1
"348",2117,3,9,4,10,"topright","bottomright","center",0,0
"349",2117,3,9,4,10,"topright","bottomright","topright",1,0
"350",2117,3,9,4,10,"topright","bottomright","bottomleft",0,0
"351",2117,3,9,4,10,"topright","bottomright","bottomright",0,1
"352",2117,4,10,3,9,"bottomright","topright","bottomright",1,0
"353",2117,1,7,2,8,"topleft","bottomleft","bottomright",0,0
"354",2117,2,8,1,7,"bottomleft","topleft","bottomright",0,0
"355",2117,2,8,1,7,"bottomleft","topleft","bottomleft",1,0
"356",2117,3,9,4,10,"topright","bottomright","topleft",0,0
"357",2063,2,8,1,7,"bottomleft","topleft","topleft",0,1
"358",2063,3,9,4,10,"topright","bottomright","topleft",0,0
"359",2063,3,9,4,10,"topright","bottomright","center",0,0
"360",2063,3,9,4,10,"topright","bottomright","bottomright",0,1
"361",2063,1,7,2,8,"topleft","bottomleft","bottomright",0,0
"362",2063,1,7,2,8,"topleft","bottomleft","center",0,0
"363",2063,1,7,2,8,"topleft","bottomleft","topleft",1,0
"364",2063,4,10,3,9,"bottomright","topright","center",0,0
"365",2063,4,10,3,9,"bottomright","topright","topleft",0,0
"366",2063,4,10,3,9,"bottomright","topright","bottomleft",0,0
"367",2063,4,10,3,9,"bottomright","topright","topright",0,1
"368",2063,3,9,4,10,"topright","bottomright","topright",1,0
"369",2063,2,8,1,7,"bottomleft","topleft","center",0,0
"370",2063,2,8,1,7,"bottomleft","topleft","bottomleft",1,0
"371",2063,1,7,2,8,"topleft","bottomleft","bottomleft",0,1
"372",2063,2,8,1,7,"bottomleft","topleft","bottomright",0,0
"373",2063,2,8,1,7,"bottomleft","topleft","topright",0,0
"374",2063,4,10,3,9,"bottomright","topright","bottomright",1,0
"375",2063,1,7,2,8,"topleft","bottomleft","topright",0,0
"376",2008,3,9,4,10,"topright","bottomright","bottomleft",0,0
"377",2008,3,9,4,10,"topright","bottomright","center",0,0
"378",2008,2,8,1,7,"bottomleft","topleft","bottomright",0,0
"379",2008,2,8,1,7,"bottomleft","topleft","center",0,0
"380",2008,2,8,1,7,"bottomleft","topleft","topleft",0,1
"381",2008,4,10,3,9,"bottomright","topright","topleft",0,0
"382",2008,4,10,3,9,"bottomright","topright","center",0,0
"383",2008,4,10,3,9,"bottomright","topright","topright",0,1
"384",2008,1,7,2,8,"topleft","bottomleft","topleft",1,0
"385",2008,1,7,2,8,"topleft","bottomleft","bottomleft",0,1
"386",2008,4,10,3,9,"bottomright","topright","bottomleft",0,0
"387",2008,3,9,4,10,"topright","bottomright","topleft",0,0
"388",2008,3,9,4,10,"topright","bottomright","topright",1,0
"389",2008,3,9,4,10,"topright","bottomright","bottomright",0,1
"390",2008,1,7,2,8,"topleft","bottomleft","center",0,0
"391",2008,1,7,2,8,"topleft","bottomleft","topright",0,0
"392",2008,4,10,3,9,"bottomright","topright","bottomright",1,0
"393",2008,1,7,2,8,"topleft","bottomleft","bottomright",0,0
"394",2008,2,8,1,7,"bottomleft","topleft","topright",0,0
"395",2008,2,8,1,7,"bottomleft","topleft","bottomleft",1,0
"396",2009,1,7,2,8,"topleft","bottomleft","center",0,0
"397",2009,1,7,2,8,"topleft","bottomleft","bottomleft",0,1
"398",2009,1,7,2,8,"topleft","bottomleft","topleft",1,0
"399",2009,1,7,2,8,"topleft","bottomleft","bottomright",0,0
"400",2009,2,8,1,7,"bottomleft","topleft","bottomleft",1,0
"401",2009,2,8,1,7,"bottomleft","topleft","center",0,0
"402",2009,2,8,1,7,"bottomleft","topleft","topright",0,0
"403",2009,2,8,1,7,"bottomleft","topleft","topleft",0,1
"404",2009,4,10,3,9,"bottomright","topright","topleft",0,0
"405",2009,4,10,3,9,"bottomright","topright","bottomleft",0,0
"406",2009,4,10,3,9,"bottomright","topright","center",0,0
"407",2009,4,10,3,9,"bottomright","topright","topright",0,1
"408",2009,4,10,3,9,"bottomright","topright","bottomright",1,0
"409",2009,3,9,4,10,"topright","bottomright","bottomright",0,1
"410",2009,3,9,4,10,"topright","bottomright","center",0,0
"411",2009,3,9,4,10,"topright","bottomright","bottomleft",0,0
"412",2009,2,8,1,7,"bottomleft","topleft","bottomright",0,0
"413",2009,1,7,2,8,"topleft","bottomleft","topright",0,0
"414",2009,3,9,4,10,"topright","bottomright","topleft",0,0
"415",2009,3,9,4,10,"topright","bottomright","topright",1,0
"416",2146,3,9,4,10,"topright","bottomright","center",0,0
"417",2146,2,8,1,7,"bottomleft","topleft","center",0,0
"418",2146,4,10,3,9,"bottomright","topright","center",0,0
"419",2146,1,7,2,8,"topleft","bottomleft","center",0,0
"420",2146,1,7,2,8,"topleft","bottomleft","bottomleft",0,1
"421",2146,2,8,1,7,"bottomleft","topleft","bottomleft",1,0
"422",2146,2,8,1,7,"bottomleft","topleft","topleft",0,1
"423",2146,3,9,4,10,"topright","bottomright","topleft",0,0
"424",2146,3,9,4,10,"topright","bottomright","bottomright",0,1
"425",2146,4,10,3,9,"bottomright","topright","bottomright",1,0
"426",2146,4,10,3,9,"bottomright","topright","topright",0,1
"427",2146,1,7,2,8,"topleft","bottomleft","topright",0,0
"428",2146,2,8,1,7,"bottomleft","topleft","topright",0,0
"429",2146,3,9,4,10,"topright","bottomright","bottomleft",0,0
"430",2146,3,9,4,10,"topright","bottomright","topright",1,0
"431",2146,1,7,2,8,"topleft","bottomleft","topleft",1,0
"432",2199,2,8,1,7,"bottomleft","topleft","center",0,0
"433",2199,2,8,1,7,"bottomleft","topleft","topleft",0,1
